date,year,quarter,market,group,tariff,tou,regulated,incumbent,consumer,retailer_type,power,price,smartmeter
2013 Q2,2013,2,EDP,EDP,2.0DHA,1,true,1,20278,regulated,5.5,0.09364444,
2013 Q2,2013,2,EDP,EDP,2.1A,0,true,1,447,,,,
2013 Q2,2013,2,EDP,EDP,2.1DHA,1,true,1,99,,,,
2013 Q3,2013,3,EDP,EDP,2.0A,0,false,1,323148,,,,
2013 Q3,2013,3,EDP,EDP,2.0DHA,1,false,1,15297,,,,
2013 Q3,2013,3,EDP,EDP,2.1A,0,false,1,13568,,,,
2013 Q3,2013,3,EDP,EDP,2.1DHA,1,false,1,2221,,,,
2013 Q3,2013,3,EDP,EDP,2.0A,0,true,1,216451,regulated,4.4,0.1302326666666667,
2013 Q3,2013,3,EDP,EDP,2.0DHA,1,true,1,20174,regulated,5.5,0.09141991333333332,
2013 Q3,2013,3,EDP,EDP,2.1A,0,true,1,428,,,,
2013 Q3,2013,3,EDP,EDP,2.1DHA,1,true,1,98,,,,
2013 Q4,2013,4,EDP,EDP,2.0A,0,false,1,326376,,,,
2013 Q4,2013,4,EDP,EDP,2.0DHA,1,false,1,15215,,,,
2013 Q4,2013,4,EDP,EDP,2.1A,0,false,1,13505,,,,
2013 Q4,2013,4,EDP,EDP,2.1DHA,1,false,1,2164,,,,
2013 Q4,2013,4,EDP,EDP,2.0A,0,true,1,210778,regulated,4.4,0.130485,
2013 Q4,2013,4,EDP,EDP,2.0DHA,1,true,1,20033,regulated,5.5,0.08972894999999999,
2013 Q4,2013,4,EDP,EDP,2.1A,0,true,1,455,,,,
2013 Q4,2013,4,EDP,EDP,2.1DHA,1,true,1,94,,,,
2014 Q1,2014,1,EDP,EDP,2.0A,0,false,1,328566,,,,
2014 Q1,2014,1,EDP,EDP,2.0DHA,1,false,1,15232,,,,
2014 Q1,2014,1,EDP,EDP,2.1A,0,false,1,13479,,,,
2014 Q1,2014,1,EDP,EDP,2.1DHA,1,false,1,2136,,,,
2014 Q1,2014,1,EDP,EDP,2.0A,0,true,1,206551,regulated,4.4,0.12716966666666668,
2014 Q1,2014,1,EDP,EDP,2.0DHA,1,true,1,20082,regulated,5.5,0.08943688999999999,
2014 Q1,2014,1,EDP,EDP,2.1A,0,true,1,428,,,,
2014 Q1,2014,1,EDP,EDP,2.1DHA,1,true,1,86,,,,
2014 Q2,2014,2,EDP,EDP,2.0A,0,false,1,329550,,,,
2014 Q2,2014,2,EDP,EDP,2.0DHA,1,false,1,15210,,,,
2014 Q2,2014,2,EDP,EDP,2.1A,0,false,1,13458,,,,
2014 Q2,2014,2,EDP,EDP,2.1DHA,1,false,1,2092,,,,
2014 Q2,2014,2,EDP,EDP,2.0A,0,true,1,204687,regulated,4.4,0.108425,
2014 Q2,2014,2,EDP,EDP,2.0DHA,1,true,1,19971,regulated,5.5,0.07805068999999999,
2014 Q2,2014,2,EDP,EDP,2.1A,0,true,1,414,,,,
2014 Q2,2014,2,EDP,EDP,2.1DHA,1,true,1,79,,,,
2014 Q3,2014,3,EDP,EDP,2.0A,0,false,1,330341,,,,
2014 Q3,2014,3,EDP,EDP,2.0DHA,1,false,1,15125,,,,
2014 Q3,2014,3,EDP,EDP,2.1A,0,false,1,13367,,,,
2014 Q3,2014,3,EDP,EDP,2.1DHA,1,false,1,2012,,,,
2014 Q3,2014,3,EDP,EDP,2.0A,0,true,1,201902,regulated,4.4,0.12281466666666667,
2014 Q3,2014,3,EDP,EDP,2.0DHA,1,true,1,19855,regulated,5.5,0.09135957666666666,
2014 Q3,2014,3,EDP,EDP,2.1A,0,true,1,405,,,,
2014 Q3,2014,3,EDP,EDP,2.1DHA,1,true,1,71,,,,
2014 Q4,2014,4,EDP,EDP,2.0A,0,false,1,332146,,,,
2014 Q4,2014,4,EDP,EDP,2.0DHA,1,false,1,15100,,,,
2014 Q4,2014,4,EDP,EDP,2.1A,0,false,1,13243,,,,
2014 Q4,2014,4,EDP,EDP,2.1DHA,1,false,1,1925,,,,
2014 Q4,2014,4,EDP,EDP,2.0A,0,true,1,198946,regulated,4.4,0.124564,
2014 Q4,2014,4,EDP,EDP,2.0DHA,1,true,1,19758,regulated,5.5,0.08970170333333334,
2014 Q4,2014,4,EDP,EDP,2.1A,0,true,1,423,,,,
2014 Q4,2014,4,EDP,EDP,2.1DHA,1,true,1,67,,,,
2015 Q1,2015,1,EDP,EDP,2.0A,0,false,1,332439,,,,
2015 Q1,2015,1,EDP,EDP,2.0DHA,1,false,1,15205,,,,
2015 Q1,2015,1,EDP,EDP,2.1A,0,false,1,13151,,,,
2015 Q1,2015,1,EDP,EDP,2.1DHA,1,false,1,1901,,,,
2015 Q1,2015,1,EDP,EDP,2.0A,0,true,1,196755,regulated,4.4,0.12189733333333334,
2015 Q1,2015,1,EDP,EDP,2.0DHA,1,true,1,19737,regulated,5.5,0.08934649666666668,
2015 Q1,2015,1,EDP,EDP,2.1A,0,true,1,388,,,,
2015 Q1,2015,1,EDP,EDP,2.1DHA,1,true,1,57,,,,
2015 Q2,2015,2,EDP,EDP,2.0A,0,false,1,333808,,,,
2015 Q2,2015,2,EDP,EDP,2.0DHA,1,false,1,15443,,,,
2015 Q2,2015,2,EDP,EDP,2.1A,0,false,1,13037,,,,
2015 Q2,2015,2,EDP,EDP,2.1DHA,1,false,1,1877,,,,
2015 Q2,2015,2,EDP,EDP,2.0A,0,true,1,194986,regulated,4.4,0.12173800000000001,
2015 Q2,2015,2,EDP,EDP,2.0DHA,1,true,1,19565,regulated,5.5,0.09159915,
2015 Q2,2015,2,EDP,EDP,2.1A,0,true,1,379,,,,
2015 Q2,2015,2,EDP,EDP,2.1DHA,1,true,1,55,,,,
2015 Q3,2015,3,EDP,EDP,2.0A,0,false,1,335539,,,,0.403333333
2015 Q3,2015,3,EDP,EDP,2.0DHA,1,false,1,15841,,,,0.403333333
2015 Q3,2015,3,EDP,EDP,2.1A,0,false,1,12882,,,,0.403333333
2015 Q3,2015,3,EDP,EDP,2.1DHA,1,false,1,1858,,,,0.403333333
2015 Q3,2015,3,EDP,EDP,2.0A,0,true,1,192332,regulated,4.4,0.121974,0.403333333
2015 Q3,2015,3,EDP,EDP,2.0DHA,1,true,1,19289,regulated,5.5,0.09280521,0.403333333
2015 Q3,2015,3,EDP,EDP,2.1A,0,true,1,371,,,,0.403333333
2015 Q3,2015,3,EDP,EDP,2.1DHA,1,true,1,57,,,,0.403333333
2015 Q4,2015,4,EDP,EDP,2.0A,0,false,1,338490,commercial,4.4,0.12447609600000001,0.5
2015 Q4,2015,4,EDP,EDP,2.0DHA,1,false,1,16804,commercial,5.5,0.0933465676,0.5
2015 Q4,2015,4,EDP,EDP,2.1A,0,false,1,12743,commercial,12.0,0.15035835320000002,0.5
2015 Q4,2015,4,EDP,EDP,2.1DHA,1,false,1,1841,commercial,12.5,0.1136234492,0.5
2015 Q4,2015,4,EDP,EDP,2.0A,0,true,1,189691,regulated,4.4,0.12253700000000001,0.5
2015 Q4,2015,4,EDP,EDP,2.0DHA,1,true,1,18608,regulated,5.5,0.092392045,0.5
2015 Q4,2015,4,EDP,EDP,2.1A,0,true,1,392,,,,0.5
2015 Q4,2015,4,EDP,EDP,2.1DHA,1,true,1,58,,,,0.5
2016 Q1,2016,1,EDP,EDP,2.0A,0,false,1,339958,commercial,4.4,0.121635504,0.556666667
2016 Q1,2016,1,EDP,EDP,2.0DHA,1,false,1,17102,commercial,5.5,0.0903614716,0.556666667
2016 Q1,2016,1,EDP,EDP,2.1A,0,false,1,12637,commercial,12.0,0.14636515079999998,0.556666667
2016 Q1,2016,1,EDP,EDP,2.1DHA,1,false,1,1809,commercial,12.5,0.1096497852,0.556666667
2016 Q1,2016,1,EDP,EDP,2.0A,0,true,1,187152,regulated,4.4,0.0959,0.556666667
2016 Q1,2016,1,EDP,EDP,2.0DHA,1,true,1,18405,regulated,5.5,0.06803889666666667,0.556666667
2016 Q1,2016,1,EDP,EDP,2.1A,0,true,1,366,,,,0.556666667
2016 Q1,2016,1,EDP,EDP,2.1DHA,1,true,1,62,,,,0.556666667
2016 Q2,2016,2,EDP,EDP,2.0A,0,false,1,341577,commercial,4.4,0.117321828,0.596666667
2016 Q2,2016,2,EDP,EDP,2.0DHA,1,false,1,17817,commercial,5.5,0.0866053496,0.596666667
2016 Q2,2016,2,EDP,EDP,2.1A,0,false,1,12452,commercial,12.0,0.1421362316,0.596666667
2016 Q2,2016,2,EDP,EDP,2.1DHA,1,false,1,1784,commercial,12.5,0.1063802112,0.596666667
2016 Q2,2016,2,EDP,EDP,2.0A,0,true,1,184591,regulated,4.4,0.09173500000000001,0.596666667
2016 Q2,2016,2,EDP,EDP,2.0DHA,1,true,1,17783,regulated,5.5,0.06557906,0.596666667
2016 Q2,2016,2,EDP,EDP,2.1A,0,true,1,351,,,,0.596666667
2016 Q2,2016,2,EDP,EDP,2.1DHA,1,true,1,56,,,,0.596666667
2016 Q3,2016,3,EDP,EDP,2.0A,0,false,1,342627,commercial,4.4,0.117321828,0.653333333
2016 Q3,2016,3,EDP,EDP,2.0DHA,1,false,1,18099,commercial,5.5,0.0866053496,0.653333333
2016 Q3,2016,3,EDP,EDP,2.1A,0,false,1,12366,commercial,12.0,0.1421362316,0.653333333
2016 Q3,2016,3,EDP,EDP,2.1DHA,1,false,1,1772,commercial,12.5,0.1063802112,0.653333333
2016 Q3,2016,3,EDP,EDP,2.0A,0,true,1,181979,regulated,4.4,0.104251,0.653333333
2016 Q3,2016,3,EDP,EDP,2.0DHA,1,true,1,17579,regulated,5.5,0.07739009333333334,0.653333333
2016 Q3,2016,3,EDP,EDP,2.1A,0,true,1,323,,,,0.653333333
2016 Q3,2016,3,EDP,EDP,2.1DHA,1,true,1,44,,,,0.653333333
2016 Q4,2016,4,EDP,EDP,2.0A,0,false,1,342783,commercial,4.4,0.11724329933333333,0.7
2016 Q4,2016,4,EDP,EDP,2.0DHA,1,false,1,19026,commercial,5.5,0.08671588520000001,0.7
2016 Q4,2016,4,EDP,EDP,2.1A,0,false,1,12160,commercial,12.0,0.1421077702,0.7
2016 Q4,2016,4,EDP,EDP,2.1DHA,1,false,1,1740,commercial,12.5,0.1065374724,0.7
2016 Q4,2016,4,EDP,EDP,2.0A,0,true,1,179333,regulated,4.4,0.12380466666666666,0.7
2016 Q4,2016,4,EDP,EDP,2.0DHA,1,true,1,17598,regulated,5.5,0.09516779333333332,0.7
2016 Q4,2016,4,EDP,EDP,2.1A,0,true,1,321,,,,0.7
2016 Q4,2016,4,EDP,EDP,2.1DHA,1,true,1,46,,,,0.7
2017 Q1,2017,1,EDP,EDP,2.0A,0,false,1,345322,commercial,4.4,0.12157514600000001,0.743333333
2017 Q1,2017,1,EDP,EDP,2.0DHA,1,false,1,19555,commercial,5.5,0.0891069632,0.743333333
2017 Q1,2017,1,EDP,EDP,2.1A,0,false,1,12001,commercial,12.0,0.14462021419999999,0.743333333
2017 Q1,2017,1,EDP,EDP,2.1DHA,1,false,1,1738,commercial,12.5,0.1079181932,0.743333333
2017 Q1,2017,1,EDP,EDP,2.0A,0,true,1,174885,regulated,4.4,0.12695466666666666,0.743333333
2017 Q1,2017,1,EDP,EDP,2.0DHA,1,true,1,17068,regulated,5.5,0.09813999,0.743333333
2017 Q1,2017,1,EDP,EDP,2.1A,0,true,1,304,,,,0.743333333
2017 Q1,2017,1,EDP,EDP,2.1DHA,1,true,1,42,,,,0.743333333
2017 Q2,2017,2,EDP,EDP,2.0A,0,false,1,345625,commercial,4.4,0.122948854,0.776666667
2017 Q2,2017,2,EDP,EDP,2.0DHA,1,false,1,19816,commercial,5.5,0.08998850200000001,0.776666667
2017 Q2,2017,2,EDP,EDP,2.1A,0,false,1,11860,commercial,12.0,0.14612150699999998,0.776666667
2017 Q2,2017,2,EDP,EDP,2.1DHA,1,false,1,1718,commercial,12.5,0.10899456479999999,0.776666667
2017 Q2,2017,2,EDP,EDP,2.0A,0,true,1,173331,regulated,4.4,0.11269699999999999,0.776666667
2017 Q2,2017,2,EDP,EDP,2.0DHA,1,true,1,17059,regulated,5.5,0.08617084333333334,0.776666667
2017 Q2,2017,2,EDP,EDP,2.1A,0,true,1,302,,,,0.776666667
2017 Q2,2017,2,EDP,EDP,2.1DHA,1,true,1,36,,,,0.776666667
2017 Q3,2017,3,EDP,EDP,2.0A,0,false,1,347280,commercial,4.4,0.129669288,0.826666667
2017 Q3,2017,3,EDP,EDP,2.0DHA,1,false,1,20307,commercial,5.5,0.0951319312,0.826666667
2017 Q3,2017,3,EDP,EDP,2.1A,0,false,1,11777,commercial,12.0,0.15269066120000002,0.826666667
2017 Q3,2017,3,EDP,EDP,2.1DHA,1,false,1,1703,commercial,12.5,0.1155538592,0.826666667
2017 Q3,2017,3,EDP,EDP,2.0A,0,true,1,171699,regulated,4.4,0.11323700000000002,0.826666667
2017 Q3,2017,3,EDP,EDP,2.0DHA,1,true,1,16980,regulated,5.5,0.08638722666666666,0.826666667
2017 Q3,2017,3,EDP,EDP,2.1A,0,true,1,302,,,,0.826666667
2017 Q3,2017,3,EDP,EDP,2.1DHA,1,true,1,42,,,,0.826666667
2017 Q4,2017,4,EDP,EDP,2.0A,0,false,1,347359,commercial,4.4,0.12910636,0.88
2017 Q4,2017,4,EDP,EDP,2.0DHA,1,false,1,21713,commercial,5.5,0.0951319312,0.88
2017 Q4,2017,4,EDP,EDP,2.1A,0,false,1,11634,commercial,12.0,0.15205552248,0.88
2017 Q4,2017,4,EDP,EDP,2.1DHA,1,false,1,1703,commercial,12.5,0.1155538592,0.88
2017 Q4,2017,4,EDP,EDP,2.0A,0,true,1,170759,regulated,4.4,0.12797033333333332,0.88
2017 Q4,2017,4,EDP,EDP,2.0DHA,1,true,1,16591,regulated,5.5,0.09891256,0.88
2017 Q4,2017,4,EDP,EDP,2.1A,0,true,1,316,,,,0.88
2017 Q4,2017,4,EDP,EDP,2.1DHA,1,true,1,40,,,,0.88
2018 Q1,2018,1,EDP,EDP,2.0A,0,false,1,345848,commercial,4.4,0.13060984599999997,0.922666667
2018 Q1,2018,1,EDP,EDP,2.0DHA,1,false,1,23259,commercial,5.5,0.10247330520000002,0.922666667
2018 Q1,2018,1,EDP,EDP,2.1A,0,false,1,11440,commercial,12.0,0.15364444130000002,0.922666667
2018 Q1,2018,1,EDP,EDP,2.1DHA,1,false,1,1703,commercial,12.5,0.11899278679999999,0.922666667
2018 Q1,2018,1,EDP,EDP,2.0A,0,true,1,169509,regulated,4.4,0.116715,0.922666667
2018 Q1,2018,1,EDP,EDP,2.0DHA,1,true,1,16556,regulated,5.5,0.08830774333333334,0.922666667
2018 Q1,2018,1,EDP,EDP,2.1A,0,true,1,307,,,,0.922666667
2018 Q1,2018,1,EDP,EDP,2.1DHA,1,true,1,43,,,,0.922666667
2018 Q2,2018,2,EDP,EDP,2.0A,0,false,1,343963,commercial,4.4,0.13041329699999998,0.961666667
2018 Q2,2018,2,EDP,EDP,2.0DHA,1,false,1,24609,commercial,5.5,0.10247330520000002,0.961666667
2018 Q2,2018,2,EDP,EDP,2.1A,0,false,1,11267,commercial,12.0,0.15364444130000002,0.961666667
2018 Q2,2018,2,EDP,EDP,2.1DHA,1,false,1,1670,commercial,12.5,0.11899278679999999,0.961666667
2018 Q2,2018,2,EDP,EDP,2.0A,0,true,1,169681,regulated,4.4,0.11772366666666667,0.961666667
2018 Q2,2018,2,EDP,EDP,2.0DHA,1,true,1,16584,regulated,5.5,0.09141818000000002,0.961666667
2018 Q2,2018,2,EDP,EDP,2.1A,0,true,1,308,,,,0.961666667
2018 Q2,2018,2,EDP,EDP,2.1DHA,1,true,1,42,,,,0.961666667
2018 Q3,2018,3,EDP,EDP,2.0A,0,false,1,339194,commercial,4.4,0.14003482666666667,0.972666667
2018 Q3,2018,3,EDP,EDP,2.0DHA,1,false,1,28573,commercial,5.5,0.11129972902222222,0.972666667
2018 Q3,2018,3,EDP,EDP,2.1A,0,false,1,11105,commercial,12.0,0.1616770516,0.972666667
2018 Q3,2018,3,EDP,EDP,2.1DHA,1,false,1,1660,commercial,12.5,0.12921445684444444,0.972666667
2018 Q3,2018,3,EDP,EDP,2.0A,0,true,1,169149,regulated,4.4,0.13254200000000002,0.972666667
2018 Q3,2018,3,EDP,EDP,2.0DHA,1,true,1,16486,regulated,5.5,0.10505404,0.972666667
2018 Q3,2018,3,EDP,EDP,2.1A,0,true,1,292,,,,0.972666667
2018 Q3,2018,3,EDP,EDP,2.1DHA,1,true,1,44,,,,0.972666667
2018 Q4,2018,4,EDP,EDP,2.0A,0,false,1,322094,commercial,4.4,0.14800725866666667,0.979333333
2018 Q4,2018,4,EDP,EDP,2.0DHA,1,false,1,42340,commercial,5.5,0.11786528746666668,0.979333333
2018 Q4,2018,4,EDP,EDP,2.1A,0,false,1,10856,commercial,12.0,0.16733369733333334,0.979333333
2018 Q4,2018,4,EDP,EDP,2.1DHA,1,false,1,1657,commercial,12.5,0.1354794255111111,0.979333333
2018 Q4,2018,4,EDP,EDP,2.0A,0,true,1,171047,regulated,4.4,0.13087000000000001,0.979333333
2018 Q4,2018,4,EDP,EDP,2.0DHA,1,true,1,16956,regulated,5.5,0.10230249000000001,0.979333333
2018 Q4,2018,4,EDP,EDP,2.1A,0,true,1,290,,,,0.979333333
2018 Q4,2018,4,EDP,EDP,2.1DHA,1,true,1,43,,,,0.979333333
2019 Q1,2019,1,EDP,EDP,2.0A,0,false,1,297992,commercial,4.4,0.142337364,0.983666667
2019 Q1,2019,1,EDP,EDP,2.0DHA,1,false,1,62470,commercial,5.5,0.11058591306666667,0.983666667
2019 Q1,2019,1,EDP,EDP,2.1A,0,false,1,10584,commercial,12.0,0.16206813653333332,0.983666667
2019 Q1,2019,1,EDP,EDP,2.1DHA,1,false,1,1676,commercial,12.5,0.1285167176,0.983666667
2019 Q1,2019,1,EDP,EDP,2.0A,0,true,1,172296,regulated,4.4,0.12170633333333332,0.983666667
2019 Q1,2019,1,EDP,EDP,2.0DHA,1,true,1,17786,regulated,5.5,0.09403913000000001,0.983666667
2019 Q1,2019,1,EDP,EDP,2.1A,0,true,1,272,,,,0.983666667
2019 Q1,2019,1,EDP,EDP,2.1DHA,1,true,1,43,,,,0.983666667
2019 Q2,2019,2,EDP,EDP,2.0A,0,false,1,278795,commercial,4.4,0.13091769710740742,0.987333333
2019 Q2,2019,2,EDP,EDP,2.0DHA,1,false,1,80029,commercial,5.5,0.1020045364,0.987333333
2019 Q2,2019,2,EDP,EDP,2.1A,0,false,1,10299,commercial,12.0,0.153466882,0.987333333
2019 Q2,2019,2,EDP,EDP,2.1DHA,1,false,1,1718,commercial,12.5,0.12357282162962963,0.987333333
2019 Q2,2019,2,EDP,EDP,2.0A,0,true,1,171429,regulated,4.4,0.11177033333333335,0.987333333
2019 Q2,2019,2,EDP,EDP,2.0DHA,1,true,1,18227,regulated,5.5,0.0855713,0.987333333
2019 Q2,2019,2,EDP,EDP,2.1A,0,true,1,282,,,,0.987333333
2019 Q2,2019,2,EDP,EDP,2.1DHA,1,true,1,46,,,,0.987333333
