"date","group","prop","category","year","quarter","plot"
"2014 Q2",NA,0.0555447551163328,"Trad - com - inc","2014","2","by-type"
"2014 Q3",NA,0.0565932938724781,"Trad - com - inc","2014","3","by-type"
"2014 Q4",NA,0.0585638904912809,"Trad - com - inc","2014","4","by-type"
"2015 Q1",NA,0.0607041931597286,"Trad - com - inc","2015","1","by-type"
"2015 Q2",NA,0.0628201308892033,"Trad - com - inc","2015","2","by-type"
"2015 Q3",NA,0.0684557037736499,"Trad - com - inc","2015","3","by-type"
"2015 Q4",NA,0.0785036492628256,"Trad - com - inc","2015","4","by-type"
"2016 Q1",NA,0.0877835634046479,"Trad - com - inc","2016","1","by-type"
"2016 Q2",NA,0.0942001325237279,"Trad - com - inc","2016","2","by-type"
"2016 Q3",NA,0.0983101898032203,"Trad - com - inc","2016","3","by-type"
"2016 Q4",NA,0.106290298326817,"Trad - com - inc","2016","4","by-type"
"2017 Q1",NA,0.120201207356344,"Trad - com - inc","2017","1","by-type"
"2017 Q2",NA,0.133989587881638,"Trad - com - inc","2017","2","by-type"
"2017 Q3",NA,0.156988051865982,"Trad - com - inc","2017","3","by-type"
"2017 Q4",NA,0.184032917361587,"Trad - com - inc","2017","4","by-type"
"2018 Q1",NA,0.213571405347789,"Trad - com - inc","2018","1","by-type"
"2018 Q2",NA,0.248244397205982,"Trad - com - inc","2018","2","by-type"
"2018 Q3",NA,0.283520475416762,"Trad - com - inc","2018","3","by-type"
"2018 Q4",NA,0.338048288716893,"Trad - com - inc","2018","4","by-type"
"2019 Q1",NA,0.385032061979517,"Trad - com - inc","2019","1","by-type"
"2019 Q2",NA,0.431991988498374,"Trad - com - inc","2019","2","by-type"
"2019 Q3",NA,0.449639160433877,"Trad - com - inc","2019","3","by-type"
"2019 Q4",NA,0.48832918897422,"Trad - com - inc","2019","4","by-type"
"2011 Q1",NA,0.0418454181025389,"Trad - com - non - inc","2011","1","by-type"
"2011 Q2",NA,0.0423729361834274,"Trad - com - non - inc","2011","2","by-type"
"2011 Q3",NA,0.0427132400183085,"Trad - com - non - inc","2011","3","by-type"
"2011 Q4",NA,0.0433988415729531,"Trad - com - non - inc","2011","4","by-type"
"2012 Q1",NA,0.045294465793712,"Trad - com - non - inc","2012","1","by-type"
"2012 Q2",NA,0.046665734544691,"Trad - com - non - inc","2012","2","by-type"
"2012 Q3",NA,0.0470260400362981,"Trad - com - non - inc","2012","3","by-type"
"2012 Q4",NA,0.0470952886598638,"Trad - com - non - inc","2012","4","by-type"
