"date","group","prop","category","year","quarter","plot"
"2012 Q2","REPSOL",0.0169036191856078,"Non-incumbent","2012","2","by-group"
"2012 Q3","EDP",0.0178544196140536,"Non-incumbent","2012","3","by-group"
"2012 Q3","ENDESA",0.0300162036624856,"Non-incumbent","2012","3","by-group"
"2012 Q3","IBERDROLA",0.0725473639848222,"Non-incumbent","2012","3","by-group"
"2012 Q3","NATURGY",0.0434874486248925,"Non-incumbent","2012","3","by-group"
"2012 Q3","REPSOL",0.0183580817192363,"Non-incumbent","2012","3","by-group"
"2012 Q4","EDP",0.0197317904071811,"Non-incumbent","2012","4","by-group"
"2012 Q4","ENDESA",0.0326298362867129,"Non-incumbent","2012","4","by-group"
"2012 Q4","IBERDROLA",0.0715617317625371,"Non-incumbent","2012","4","by-group"
"2012 Q4","NATURGY",0.0424108109485053,"Non-incumbent","2012","4","by-group"
"2012 Q4","REPSOL",0.01997078331564,"Non-incumbent","2012","4","by-group"
"2013 Q1","EDP",0.0224260001284591,"Non-incumbent","2013","1","by-group"
"2013 Q1","ENDESA",0.0364226948336771,"Non-incumbent","2013","1","by-group"
"2013 Q1","IBERDROLA",0.0701874332329805,"Non-incumbent","2013","1","by-group"
"2013 Q1","NATURGY",0.041215211651393,"Non-incumbent","2013","1","by-group"
"2013 Q1","REPSOL",0.0236820881296283,"Non-incumbent","2013","1","by-group"
"2013 Q2","EDP",0.0178148959474261,"Non-incumbent","2013","2","by-group"
"2013 Q2","ENDESA",0.0390900920879095,"Non-incumbent","2013","2","by-group"
"2013 Q2","IBERDROLA",0.0687046450210527,"Non-incumbent","2013","2","by-group"
"2013 Q2","NATURGY",0.0368493273311645,"Non-incumbent","2013","2","by-group"
"2013 Q2","REPSOL",0.0365325714466613,"Non-incumbent","2013","2","by-group"
"2013 Q3","EDP",0.0197916011489192,"Non-incumbent","2013","3","by-group"
"2013 Q3","ENDESA",0.0438178280458239,"Non-incumbent","2013","3","by-group"
"2013 Q3","IBERDROLA",0.0676580499818399,"Non-incumbent","2013","3","by-group"
"2013 Q3","NATURGY",0.0369925529016438,"Non-incumbent","2013","3","by-group"
"2013 Q3","REPSOL",0.0484165045122344,"Non-incumbent","2013","3","by-group"
"2013 Q4","EDP",0.0182581133021718,"Non-incumbent","2013","4","by-group"
"2013 Q4","ENDESA",0.0483057083445781,"Non-incumbent","2013","4","by-group"
"2013 Q4","IBERDROLA",0.0687431622117667,"Non-incumbent","2013","4","by-group"
"2013 Q4","NATURGY",0.0370317032087244,"Non-incumbent","2013","4","by-group"
"2013 Q4","REPSOL",0.0499017505584902,"Non-incumbent","2013","4","by-group"
"2014 Q1","EDP",0.0174617805507714,"Non-incumbent","2014","1","by-group"
"2014 Q1","ENDESA",0.0523029373146659,"Non-incumbent","2014","1","by-group"
"2014 Q1","IBERDROLA",0.071186778417969,"Non-incumbent","2014","1","by-group"
"2014 Q1","NATURGY",0.0380296264969288,"Non-incumbent","2014","1","by-group"
"2014 Q1","REPSOL",0.0846954684906704,"Non-incumbent","2014","1","by-group"
"2014 Q2","EDP",0.0170337127696578,"Non-incumbent","2014","2","by-group"
"2014 Q2","ENDESA",0.0565194550608544,"Non-incumbent","2014","2","by-group"
"2014 Q2","IBERDROLA",0.0719394390286214,"Non-incumbent","2014","2","by-group"
"2014 Q2","NATURGY",0.0395698595537867,"Non-incumbent","2014","2","by-group"
"2014 Q2","REPSOL",0.178346978975438,"Non-incumbent","2014","2","by-group"
"2014 Q3","EDP",0.0164371361823509,"Non-incumbent","2014","3","by-group"
"2014 Q3","ENDESA",0.0581881909433936,"Non-incumbent","2014","3","by-group"
"2014 Q3","IBERDROLA",0.0743158202839163,"Non-incumbent","2014","3","by-group"
"2014 Q3","NATURGY",0.0395566757691918,"Non-incumbent","2014","3","by-group"
"2014 Q3","REPSOL",0.244244631232385,"Non-incumbent","2014","3","by-group"
"2014 Q4","EDP",0.0163096018663942,"Non-incumbent","2014","4","by-group"
"2014 Q4","ENDESA",0.0600288759592977,"Non-incumbent","2014","4","by-group"
"2014 Q4","IBERDROLA",0.0781093915861221,"Non-incumbent","2014","4","by-group"
"2014 Q4","NATURGY",0.0398929718222989,"Non-incumbent","2014","4","by-group"
"2014 Q4","REPSOL",0.304887527833136,"Non-incumbent","2014","4","by-group"
"2015 Q1","EDP",0.018687272770058,"Non-incumbent","2015","1","by-group"
"2015 Q1","ENDESA",0.0601366549250944,"Non-incumbent","2015","1","by-group"
"2015 Q1","IBERDROLA",0.0814727350794332,"Non-incumbent","2015","1","by-group"
"2015 Q1","NATURGY",0.0413248328037576,"Non-incumbent","2015","1","by-group"
"2015 Q1","REPSOL",0.372948139428422,"Non-incumbent","2015","1","by-group"
"2015 Q2","EDP",0.0227120832814146,"Non-incumbent","2015","2","by-group"
"2015 Q2","ENDESA",0.0627845060014105,"Non-incumbent","2015","2","by-group"
"2015 Q2","IBERDROLA",0.0857633009091543,"Non-incumbent","2015","2","by-group"
"2015 Q2","NATURGY",0.0430415006835113,"Non-incumbent","2015","2","by-group"
"2015 Q2","REPSOL",0.440335338709594,"Non-incumbent","2015","2","by-group"
"2015 Q3","EDP",0.0254383872939641,"Non-incumbent","2015","3","by-group"
"2015 Q3","ENDESA",0.0670297073537876,"Non-incumbent","2015","3","by-group"
"2015 Q3","IBERDROLA",0.0869142472491454,"Non-incumbent","2015","3","by-group"
"2015 Q3","NATURGY",0.0437804535962515,"Non-incumbent","2015","3","by-group"
"2015 Q3","REPSOL",0.502177746380157,"Non-incumbent","2015","3","by-group"
"2015 Q4","EDP",0.0295961922471447,"Non-incumbent","2015","4","by-group"
"2015 Q4","ENDESA",0.0775635184501088,"Non-incumbent","2015","4","by-group"
"2015 Q4","IBERDROLA",0.0934572246729467,"Non-incumbent","2015","4","by-group"
"2015 Q4","NATURGY",0.0458592596519808,"Non-incumbent","2015","4","by-group"
"2015 Q4","REPSOL",0.530823029150115,"Non-incumbent","2015","4","by-group"
"2016 Q1","EDP",0.0333723757523711,"Non-incumbent","2016","1","by-group"
"2016 Q1","ENDESA",0.0851251382460165,"Non-incumbent","2016","1","by-group"
"2016 Q1","IBERDROLA",0.102596066160784,"Non-incumbent","2016","1","by-group"
"2016 Q1","NATURGY",0.0482631441800798,"Non-incumbent","2016","1","by-group"
"2016 Q1","REPSOL",0.552952170000692,"Non-incumbent","2016","1","by-group"
"2016 Q2","EDP",0.0377808239857223,"Non-incumbent","2016","2","by-group"
"2016 Q2","ENDESA",0.0913212742336073,"Non-incumbent","2016","2","by-group"
"2016 Q2","IBERDROLA",0.108880850789129,"Non-incumbent","2016","2","by-group"
"2016 Q2","NATURGY",0.0496740819192194,"Non-incumbent","2016","2","by-group"
"2016 Q2","REPSOL",0.567358914849866,"Non-incumbent","2016","2","by-group"
"2016 Q3","EDP",0.0417487060377047,"Non-incumbent","2016","3","by-group"
"2016 Q3","ENDESA",0.0984770782753204,"Non-incumbent","2016","3","by-group"
"2016 Q3","IBERDROLA",0.112898166098866,"Non-incumbent","2016","3","by-group"
"2016 Q3","NATURGY",0.051443809463251,"Non-incumbent","2016","3","by-group"
"2016 Q3","REPSOL",0.589929996158675,"Non-incumbent","2016","3","by-group"
"2016 Q4","EDP",0.0461317520827092,"Non-incumbent","2016","4","by-group"
"2016 Q4","ENDESA",0.107323810078455,"Non-incumbent","2016","4","by-group"
"2016 Q4","IBERDROLA",0.123487215222548,"Non-incumbent","2016","4","by-group"
"2016 Q4","NATURGY",0.054683480564404,"Non-incumbent","2016","4","by-group"
"2016 Q4","REPSOL",0.619699449486684,"Non-incumbent","2016","4","by-group"
"2017 Q1","EDP",0.0550090227728143,"Non-incumbent","2017","1","by-group"
"2017 Q1","ENDESA",0.119728648294322,"Non-incumbent","2017","1","by-group"
"2017 Q1","IBERDROLA",0.142102325541685,"Non-incumbent","2017","1","by-group"
"2017 Q1","NATURGY",0.0587017373666784,"Non-incumbent","2017","1","by-group"
"2017 Q1","REPSOL",0.648524142637775,"Non-incumbent","2017","1","by-group"
"2017 Q2","EDP",0.0620614725168182,"Non-incumbent","2017","2","by-group"
"2017 Q2","ENDESA",0.136539091295472,"Non-incumbent","2017","2","by-group"
"2017 Q2","IBERDROLA",0.158609512398639,"Non-incumbent","2017","2","by-group"
"2017 Q2","NATURGY",0.0620153221885946,"Non-incumbent","2017","2","by-group"
"2017 Q2","REPSOL",0.663006225743473,"Non-incumbent","2017","2","by-group"
"2017 Q3","EDP",0.0683897431711274,"Non-incumbent","2017","3","by-group"
"2017 Q3","ENDESA",0.188773845826537,"Non-incumbent","2017","3","by-group"
"2017 Q3","IBERDROLA",0.172235052054589,"Non-incumbent","2017","3","by-group"
"2017 Q3","NATURGY",0.0658592140915293,"Non-incumbent","2017","3","by-group"
"2017 Q3","REPSOL",0.674806783274655,"Non-incumbent","2017","3","by-group"
"2017 Q4","EDP",0.0846243791247902,"Non-incumbent","2017","4","by-group"
"2017 Q4","ENDESA",0.24874934175882,"Non-incumbent","2017","4","by-group"
"2017 Q4","IBERDROLA",0.191085204832319,"Non-incumbent","2017","4","by-group"
"2017 Q4","NATURGY",0.0713296061953626,"Non-incumbent","2017","4","by-group"
"2017 Q4","REPSOL",0.692001994027236,"Non-incumbent","2017","4","by-group"
"2018 Q1","EDP",0.112363708606176,"Non-incumbent","2018","1","by-group"
"2018 Q1","ENDESA",0.323965132734183,"Non-incumbent","2018","1","by-group"
"2018 Q1","IBERDROLA",0.211685393258427,"Non-incumbent","2018","1","by-group"
"2018 Q1","NATURGY",0.0800607455034617,"Non-incumbent","2018","1","by-group"
"2018 Q1","REPSOL",0.715843697790978,"Non-incumbent","2018","1","by-group"
"2018 Q2","EDP",0.139546899459314,"Non-incumbent","2018","2","by-group"
"2018 Q2","ENDESA",0.404672614063379,"Non-incumbent","2018","2","by-group"
"2018 Q2","IBERDROLA",0.236330574032119,"Non-incumbent","2018","2","by-group"
"2018 Q2","NATURGY",0.10341537288538,"Non-incumbent","2018","2","by-group"
"2018 Q2","REPSOL",0.737120362007463,"Non-incumbent","2018","2","by-group"
"2018 Q3","EDP",0.164841483347127,"Non-incumbent","2018","3","by-group"
"2018 Q3","ENDESA",0.450402546552745,"Non-incumbent","2018","3","by-group"
"2018 Q3","IBERDROLA",0.260581619022458,"Non-incumbent","2018","3","by-group"
"2018 Q3","NATURGY",0.109581962044287,"Non-incumbent","2018","3","by-group"
"2018 Q3","REPSOL",0.751696221879596,"Non-incumbent","2018","3","by-group"
"2018 Q4","EDP",0.225366187826172,"Non-incumbent","2018","4","by-group"
"2018 Q4","ENDESA",0.486190725323385,"Non-incumbent","2018","4","by-group"
"2018 Q4","IBERDROLA",0.286289424723801,"Non-incumbent","2018","4","by-group"
"2018 Q4","NATURGY",0.15385568908466,"Non-incumbent","2018","4","by-group"
"2018 Q4","REPSOL",0.765115249680317,"Non-incumbent","2018","4","by-group"
"2019 Q1","EDP",0.296835480321754,"Non-incumbent","2019","1","by-group"
"2019 Q1","ENDESA",0.558028764388823,"Non-incumbent","2019","1","by-group"
"2019 Q1","IBERDROLA",0.317638715007735,"Non-incumbent","2019","1","by-group"
"2019 Q1","NATURGY",0.239918191398588,"Non-incumbent","2019","1","by-group"
"2019 Q1","REPSOL",0.780017027801018,"Non-incumbent","2019","1","by-group"
"2019 Q2","EDP",0.363462417343187,"Non-incumbent","2019","2","by-group"
"2019 Q2","ENDESA",0.583001970233047,"Non-incumbent","2019","2","by-group"
"2019 Q2","IBERDROLA",0.341311589372139,"Non-incumbent","2019","2","by-group"
"2019 Q2","NATURGY",0.360776657734677,"Non-incumbent","2019","2","by-group"
"2019 Q2","REPSOL",0.789612664880854,"Non-incumbent","2019","2","by-group"
"2019 Q3","EDP",0.418356206965644,"Non-incumbent","2019","3","by-group"
"2019 Q3","ENDESA",0.598680117154304,"Non-incumbent","2019","3","by-group"
"2019 Q3","IBERDROLA",0.363597453999949,"Non-incumbent","2019","3","by-group"
"2019 Q3","NATURGY",0.395560343460751,"Non-incumbent","2019","3","by-group"
"2019 Q3","REPSOL",0.815983261939882,"Non-incumbent","2019","3","by-group"
"2019 Q4","EDP",0.480237925221399,"Non-incumbent","2019","4","by-group"
"2019 Q4","ENDESA",0.65636813233664,"Non-incumbent","2019","4","by-group"
"2019 Q4","IBERDROLA",0.394344477352137,"Non-incumbent","2019","4","by-group"
"2019 Q4","NATURGY",0.487751122241261,"Non-incumbent","2019","4","by-group"
"2019 Q4","REPSOL",0.843859100294062,"Non-incumbent","2019","4","by-group"
