CODIGO DIS,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
R1-112,0,0,0,0,0,0
R1-113,0.49,0.48,0.46,0.46,0.49,0.49
R1-114,0.41,0.41,0.41,0.4,0.4,0.42
R1-115,0,0,0.73,0.43,0.73,0.73
R1-116,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33
R1-117,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-118,-0.26,-0.26,-0.26,-0.26,-0.26,-0.28
R1-119,0,0,0,0,0,0
R1-120,0.9,0.91,0.91,0.91,0.91,0.91
R1-121,0.47,0.5,0.48,0.49,0.5,0.5
R1-122,0,0,-0.05,0.47,0.47,0.47
R1-123,0,0,0,-0.28,0.43,0.43
R1-124,0.35,0.35,0.36,0.36,0.36,0.36
R1-125,0,0,0,0,0,0
R1-126,0,0,0,0,0,0
R1-127,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26
R1-128,0,0,0,0,0,0
R1-129,0.93,0.94,0.96,0.96,0.96,0.96
R1-130,-0.15,-0.2,-0.2,-0.2,-0.2,-0.2
R1-131,0,-0.26,-0.23,-0.23,-0.23,-0.23
R1-132,0,0,-0.33,-0.33,-0.33,-0.33
R1-133,0.44,0.44,0.45,0.44,0.44,0.44
R1-134,0.91,0.91,0.91,0.91,0.91,0.91
R1-135,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0
R1-136,0.99,0.99,1,1,1,1
R1-137,0,0.43,0.43,0,0.43,0.43
R1-138,0.36,0.36,0.36,0.36,0.38,0.43
R1-139,0,0,0,-0.19,-0.2,-0.2
R1-140,0.37,0.37,0.36,0.36,0.36,0.36
R1-141,0,0,0.4,0.4,0.51,0.62
R1-142,0,0,-0.28,-0.29,0.38,0.47
R1-143,0,0,0.35,0.35,0.35,0.35
CODIGO DIS,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
R1-145,SIN DATOS,SIN DATOS,SIN DATOS,0.46,0.46,0.46
R1-146,0.92,0.93,0.93,1,1,1
R1-147,0.99,0.99,0.99,0.98,0.99,0.99
R1-148,0.35,0.35,0.35,0.35,0.35,0.35
R1-149,0,0,0,-0.14,-0.31,-0.31
R1-150,0,0,0,0,0,0
R1-151,0.35,0.35,0.35,-0.32,-0.32,-0.32
R1-152,0,0,0,0,0,0
R1-153,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0
R1-154,0,0,0,0,0,0
R1-155,0,0,0,0,0,0
R1-156,0.94,0.94,0.94,0.95,0.96,0.96
R1-157,0,0,0,0,0,0
R1-158,0,0,0,0,0,0
R1-159,0.35,0.35,0.35,0.36,0.36,0.36
R1-160,0,0,0,0,0,0
R1-161,0,0,0,0,0,0
R1-162,0,0,0,0,0,0
R1-163,0,0,-0.34,0.41,0.43,0.45
R1-164,0.42,0.42,0.42,0.42,0.42,0.41
R1-165,0.55,0.6,0.67,0.7,0.7,0.73
R1-166,-0.21,0.35,0.36,0.36,0.36,0.36
R1-167,-0.31,-0.31,-0.31,-0.31,-0.31,-0.3
R1-168,0.38,0.38,0.38,0.38,0.38,0.38
R1-169,0.38,0.38,0.39,0.41,0.41,0.42
R1-170,1,1,1,1,1,1
R1-171,0.96,0.96,0.96,0.96,0.95,0.96
R1-172,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29
R1-173,0.98,0.98,0.98,0.98,0.98,0.98
R1-174,0.56,0.56,0.57,0.57,0.54,0.54
R1-175,0,0,0,0,-0.2,-0.28
R1-176,0,0,0,0,0,0
R1-177,0.38,0.38,0.37,0.35,0.35,0.35
R1-178,-0.01,-0.01,-0.01,0,0,0
R1-179,0.91,0.91,0.93,0.93,0.94,0.94
R1-180,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
R1-181,0.48,0.49,0.49,0.51,0.51,0.51
R1-182,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-183,0.95,0.95,0.95,0.95,0.95,0.95
CODIGO DIS,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
R1-184,0,0,0,0.7,0.7,0.7
R1-185,-0.02,-0.02,-0.02,0.84,0.91,0.91
R1-186,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
R1-187,0,0,0,-0.15,-0.34,-0.34
R1-188,0.46,0.46,0.46,0.46,0.47,0.47
R1-190,-0.19,0.37,0.35,0.36,0.36,0.36
R1-191,0.37,0.37,0.37,0.37,0.37,0.42
R1-192,0.84,0.84,0.85,0.85,0.86,0.86
R1-193,0,0,0,0,0,0
R1-194,0,0,0.97,0.97,0.97,0.97
R1-195,0,0,0,0,0,0
R1-196,0,0,0,0,0,0
R1-197,0,0,0,0,0,0.96
R1-198,0.39,0.39,0.39,0,0,-0.09
R1-199,0.49,0.5,0.5,-0.29,-0.29,-0.29
R1-200,0,0,-0.01,0,0,0
R1-201,0.71,0.71,0.72,0.72,0.72,0.72
R1-202,0,0,0,0,0,0
R1-203,-0.05,-0.05,-0.06,-0.01,-0.05,-0.05
R1-204,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
R1-205,1,1,1,1,1,1
R1-206,0,0,0,0.49,0.59,0.59
R1-207,0.42,0.42,0.42,0.42,0.42,0.42
R1-208,0,0,0,0,0,0
R1-210,0.36,-0.33,-0.34,-0.34,-0.34,-0.34
R1-211,0,0,0,0,0,0
R1-213,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0
R1-214,1,1,1,1,1,1
R1-215,-0.24,-0.24,-0.25,-0.25,-0.25,-0.25
R1-216,0.84,0.91,0.94,0.95,0.95,0.95
R1-217,-0.22,-0.23,-0.23,-0.22,-0.22,-0.23
R1-218,0,0,0,0,0,0
R1-220,0.77,0.77,0.8,-0.01,0.75,0.75
R1-221,-0.02,-0.02,-0.02,-0.02,-0.02,0.37
R1-222,0,0,0,0,0,0
R1-223,0,-0.23,-0.23,-0.23,-0.34,-0.34
R1-224,0,0,0,0,0,0
R1-225,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0
R1-226,0.48,0.48,0.5,0.5,0.5,0.5
CODIGO DIS,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
R1-227,-0.23,-0.22,-0.22,-0.23,-0.27,-0.27
R1-228,-0.21,-0.2,-0.21,-0.17,-0.16,-0.16
R1-229,0.64,0.64,0.64,0.63,0.64,0.78
R1-231,0.43,0.43,0.43,0.42,0.43,0.43
R1-232,0.35,0.35,0.35,0.35,0.35,0.35
R1-233,0,0,0,0,0,0
R1-234,0,0,0,0,0,0
R1-236,0,0,0,0,0,0
R1-237,0.66,0.67,0.68,0.68,0.69,0.71
R1-238,-0.15,-0.15,-0.16,0,0,0
R1-239,0,0,0,-0.04,-0.2,-0.2
R1-240,0.44,0.47,0.5,-0.18,-0.18,-0.18
R1-241,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
R1-242,0.51,0.51,0.51,0.5,0.5,0.5
R1-243,0.94,0.94,0.94,0.94,0.94,0.94
R1-244,0,0,0,0,0,0
R1-245,0,0,0,0,0,0
R1-246,-0.24,-0.24,0.36,0.36,0.36,0.36
R1-247,0.92,0.99,0.99,0.99,0.99,0.99
R1-248,0,0,0,0,0,0
R1-249,0.48,0.48,0.48,0.48,0.55,0.69
R1-250,-0.15,-0.16,-0.16,0,-0.22,-0.24
R1-251,0,0,0,0,0,0
R1-252,0.99,0.99,1,1,1,1
R1-253,0.7,0.7,0.81,0.63,0.61,0.69
R1-254,0.65,0.72,1,1,1,1
R1-255,0,0,0.36,0.37,0.37,0.37
R1-256,0.43,0.44,0.44,0.43,0.42,0
R1-257,-0.14,-0.14,-0.14,-0.13,-0.16,-0.16
R1-258,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-259,0.39,0.39,0.39,0.39,0.39,0.39
R1-260,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-261,0,0,0,0,0,0
R1-262,0.35,0.35,0.35,0.35,0.35,0.35
R1-264,0.35,0.35,0.36,0.36,0.36,0.35
R1-265,0.99,0.99,0.99,0.99,0.99,0.99
R1-266,0.78,0.78,0.78,0.78,0.78,0.78
R1-267,-0.01,-0.01,-0.01,-0.01,-0.01,0.76
R1-268,-0.06,-0.06,-0.1,-0.11,-0.11,-0.11
CODIGO DIS,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
R1-269,0.47,0.47,0.47,-0.22,-0.22,-0.22
R1-270,0,0,0,0,0,0
R1-271,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-272,0,0,0,0.35,0,0.65
R1-273,0.94,0.94,0.94,0.94,0.94,0.94
