year,month,retailer,retailer_type,tariff,power,energy_consumption,energy_bill,energy_price,power_bill,pretax_bill,total_bill,contract_id
2014,1,COR,regulated,2.0DHA,5.5,5000,461.84125,0.09236825,196.0721015,657.9133515,836.7760605,9999
2014,1,COR,regulated,2.0A,4.4,3000,399.885,0.133295,156.8576812,556.7426812,708.100765,9999
2014,2,COR,regulated,2.0DHA,5.5,5000,439.85605,0.08797121,231.238843,671.094893,853.5411836,9999
2014,2,COR,regulated,2.0A,4.4,3000,372.321,0.12410700000000001,184.9910744,557.3120744,708.8249555,9999
2014,3,COR,regulated,2.0DHA,5.5,5000,439.85605,0.08797121,231.238843,671.094893,853.5411836,9999
2014,3,COR,regulated,2.0A,4.4,3000,372.321,0.12410700000000001,184.9910744,557.3120744,708.8249555,9999
2014,4,COR,regulated,2.0DHA,5.5,5000,322.38715,0.06447743,231.238843,553.625993,704.1367626,9999
2014,4,COR,regulated,2.0A,4.4,3000,285.252,0.095084,184.9910744,470.2430744,598.0850615,9999
2014,5,COR,regulated,2.0DHA,5.5,5000,403.10455,0.08062091,231.238843,634.343393,806.7982876,9999
2014,5,COR,regulated,2.0A,4.4,3000,332.775,0.110925,184.9910744,517.7660744,658.5278365,9999
2014,6,COR,regulated,2.0DHA,5.5,5000,445.26865,0.08905373,231.238843,676.507493,860.4252727,9999
2014,6,COR,regulated,2.0A,4.4,3000,357.798,0.119266,184.9910744,542.7890744,690.35368,9999
2014,7,COR,regulated,2.0DHA,5.5,5000,428.2373,0.08564746,231.238843,659.476143,838.7637181,9999
2014,7,COR,regulated,2.0A,4.4,3000,349.947,0.116649,184.9910744,534.9380744,680.3682787,9999
2014,8,COR,regulated,2.0DHA,5.5,5000,449.6835,0.0899367,231.238843,680.922343,866.0403598,9999
2014,8,COR,regulated,2.0A,4.4,3000,362.532,0.120844,184.9910744,547.5230744,696.3746824,9999
2014,9,COR,regulated,2.0DHA,5.5,5000,492.47285,0.09849457,231.238843,723.711693,920.4625776,9999
2014,9,COR,regulated,2.0A,4.4,3000,392.853,0.130951,184.9910744,577.8440744,734.9388594,9999
2014,10,COR,regulated,2.0DHA,5.5,5000,473.62115,0.09472423,231.238843,704.859993,896.4857861,9999
2014,10,COR,regulated,2.0A,4.4,3000,389.697,0.12989900000000001,184.9910744,574.6880744,730.9248578,9999
2014,11,COR,regulated,2.0DHA,5.5,5000,433.3171,0.08666341999999999,231.238843,664.555943,845.224531,9999
2014,11,COR,regulated,2.0A,4.4,3000,364.239,0.121413,184.9910744,549.2300743999999,698.5457536,9999
2014,12,COR,regulated,2.0DHA,5.5,5000,438.5873,0.08771746000000001,231.238843,669.826143,851.9275067,9999
2014,12,COR,regulated,2.0A,4.4,3000,367.14,0.12237999999999999,184.9910744,552.1310744,702.23543,9999
2015,1,COR,regulated,2.0DHA,5.5,5000,475.22685,0.09504537,231.238843,706.465693,898.5280176,9999
2015,1,COR,regulated,2.0A,4.4,3000,386.592,0.128864,184.9910744,571.5830744,726.9757213,9999
2015,2,COR,regulated,2.0DHA,5.5,5000,429.30885,0.08586177,231.238843,660.547693,840.1265836,9999
2015,2,COR,regulated,2.0A,4.4,3000,356.733,0.118911,184.9910744,541.7240744000001,688.9991453,9999
2015,3,COR,regulated,2.0DHA,5.5,5000,435.66175,0.08713235,231.238843,666.900593,848.206606,9999
2015,3,COR,regulated,2.0A,4.4,3000,353.751,0.117917,184.9910744,538.7420744,685.2064479,9999
2015,4,COR,regulated,2.0DHA,5.5,5000,453.27265,0.09065453,231.238843,684.511493,870.6052692,9999
2015,4,COR,regulated,2.0A,4.4,3000,362.004,0.12066800000000001,184.9910744,546.9950744,695.7031384,9999
2015,5,COR,regulated,2.0DHA,5.5,5000,441.9859,0.08839718,231.238843,673.224743,856.2500624,9999
2015,5,COR,regulated,2.0A,4.4,3000,353.979,0.117993,184.9910744,538.9700743999999,685.4964328,9999
2015,6,COR,regulated,2.0DHA,5.5,5000,478.7287,0.09574574,231.238843,709.967543,902.9818932,9999
2015,6,COR,regulated,2.0A,4.4,3000,379.659,0.126553,184.9910744,564.6500744,718.1578907,9999
2015,8,COR,regulated,2.0DHA,5.5,5000,479.15105,0.09583021,231.238843,710.389893,903.5190648,9999
2015,8,COR,regulated,2.0A,4.4,3000,376.674,0.125558,184.9910744,561.6650744,714.3613778,9999
2015,9,COR,regulated,2.0DHA,5.5,5000,448.90105,0.08978021,231.238843,680.139893,865.0451901,9999
2015,9,COR,regulated,2.0A,4.4,3000,355.17,0.11839000000000001,184.9910744,540.1610744,687.0112224,9999
2015,11,COR,regulated,2.0DHA,5.5,5000,460.01785,0.09200357,231.238843,691.256693,879.1842437,9999
2015,11,COR,regulated,2.0A,4.4,3000,365.163,0.12172100000000001,184.9910744,550.1540744,699.7209556,9999
2015,12,COR,regulated,2.0DHA,5.5,5000,463.9026,0.09278052,231.238843,695.141443,884.1251159,9999
