date,market,group,tariff,regulated,consumers,yearly_consumption,power,tou,incumbent,share,share_reg,share_others,year,quarter,retailer_type,contracted_power,energy_price,total_bill,energy_consumption,power_bill,energy_bill,gas_price,variable,retailing_cost,smartmeter,ordered_quarter,energy_price_lag,gas_price_lag,retailing_cost_lag
2011-03-28,EDP,EDP,2.0A,false,255905,631441490,2.0,0,1,0.40964921969671503,0.46572796557669127,0.0002993470392656873,2011,1,,,,,,,,24.218298267326727,,,,1,,,
2011-03-28,EDP,EDP,2.0A,true,290937,595043328,2.0,0,1,0.46572796557669127,0.46572796557669127,0.0002993470392656873,2011,1,,,,,,,,24.218298267326727,,,,1,,24.218298267326727,
2011-06-28,EDP,EDP,2.0A,false,266417,652422884,2.0,0,1,0.4259359921724867,0.44279967896963324,0.00032774514537495643,2011,2,,,,,,,,24.724852532872333,,,,2,,24.218298267326727,
2011-06-28,EDP,EDP,2.0A,true,276965,554609465,2.0,0,1,0.44279967896963324,0.44279967896963324,0.00032774514537495643,2011,2,,,,,,,,24.724852532872333,,,,2,,24.724852532872333,
2011-09-28,EDP,EDP,2.0A,false,274184,660309170,2.0,0,1,0.437569321759891,0.4275726252659163,0.00036067263851185833,2011,3,,,,,,,,23.921590159015903,,,,3,,24.724852532872333,
2011-09-28,EDP,EDP,2.0A,true,267920,518087309,2.0,0,1,0.4275726252659163,0.4275726252659163,0.00036067263851185833,2011,3,,,,,,,,23.921590159015903,,,,3,,23.921590159015903,
2011-12-28,EDP,EDP,2.0A,false,279137,663789837,2.0,0,1,0.44452035270267903,0.41635573476274423,0.000652917186213574,2011,4,,,,,,,,24.7368278750952,,,,4,,23.921590159015903,
2011-12-28,EDP,EDP,2.0A,true,261451,505908742,2.0,0,1,0.41635573476274423,0.41635573476274423,0.000652917186213574,2011,4,,,,,,,,24.7368278750952,,,,4,,24.7368278750952,
2012-03-28,EDP,EDP,2.0A,false,287385,655060108,2.0,0,1,0.4517644728589192,0.402342884180973,0.0011051043875630955,2012,1,,,,,,,,24.85431200812388,,,,5,,24.7368278750952,
2012-03-28,EDP,EDP,2.0A,true,255946,467802408,2.0,0,1,0.402342884180973,0.402342884180973,0.0011051043875630955,2012,1,,,,,,,,24.85431200812388,,,,5,,24.85431200812388,
2012-06-28,EDP,EDP,2.0A,false,294847,676374517,2.0,0,1,0.4633962726749796,0.39110194664562753,0.0010137142174597737,2012,2,,,,,,,,24.80399649339934,,,,6,,24.85431200812388,
2012-06-28,EDP,EDP,2.0A,true,248848,455658344,2.0,0,1,0.39110194664562753,0.39110194664562753,0.0010137142174597737,2012,2,,,,,,,,24.80399649339934,,,,6,,24.80399649339934,
2012-09-28,EDP,EDP,2.0A,false,302237,693925760,2.0,0,1,0.4745997723079339,0.37894397990028655,0.0011306088799905782,2012,3,,,,,,,,25.03041228738258,,,,7,,24.80399649339934,
2012-09-28,EDP,EDP,2.0A,true,241321,440089996,2.0,0,1,0.37894397990028655,0.37894397990028655,0.0011306088799905782,2012,3,,,,,,,,25.03041228738258,,,,7,,25.03041228738258,
2012-12-28,EDP,EDP,2.0A,false,311324,710550396,2.0,0,1,0.48819821232554494,0.36403167633683553,0.0011510114473890544,2012,4,,,,,,,,28.37269306930692,,,,8,,25.03041228738258,
2012-12-28,EDP,EDP,2.0A,true,232143,413273056,2.0,0,1,0.36403167633683553,0.36403167633683553,0.0011510114473890544,2012,4,,,,,,,,28.37269306930692,,,,8,,28.37269306930692,
2013-03-28,EDP,EDP,2.0A,false,317311,725351227,2.0,0,1,0.498057595625156,0.3523937485186714,0.0011850628711169572,2013,1,,,,,,,,29.174061269030133,,,,9,,28.37269306930692,
2013-03-28,EDP,EDP,2.0A,true,224509,398250240,2.0,0,1,0.3523937485186714,0.3523937485186714,0.0011850628711169572,2013,1,,,,,,,,29.174061269030133,,,,9,,29.174061269030133,
2013-06-28,EDP,EDP,2.0A,false,322102,721164972,2.0,0,1,0.5052588317785597,0.3438358334679741,0.0013694139128061376,2013,2,,,,,,,,27.464615384615392,,,,10,,29.174061269030133,
2013-06-28,EDP,EDP,2.0A,true,219195,381115949,2.0,0,1,0.3438358334679741,0.3438358334679741,0.0013694139128061376,2013,2,,,,,,,,27.464615384615392,,,,10,,27.464615384615392,
2013-09-28,EDP,EDP,2.0A,false,323148,720135145,2.0,0,1,0.5069465361445783,0.33956293925702813,0.0015013177710843373,2013,3,,,,,,,,27.17554380438044,,,,11,,27.464615384615392,
2013-09-28,EDP,EDP,2.0A,true,216451,378947375,2.0,0,1,0.33956293925702813,0.33956293925702813,0.0015013177710843373,2013,3,,,,,,,,27.17554380438044,,,,11,,27.17554380438044,
2013-12-28,EDP,EDP,2.0A,false,326376,723516772,2.0,0,1,0.5115378768049729,0.33035802447851115,0.002035957613211939,2013,4,,,,,,,,29.133403249555723,cost_com,56.134488071754795,,12,,27.17554380438044,
2013-12-28,EDP,EDP,2.0A,true,210778,359978655,2.0,0,1,0.33035802447851115,0.33035802447851115,0.002035957613211939,2013,4,,,,,,,,29.133403249555723,cost_reg,55.65612876657045,,12,,29.133403249555723,56.134488071754795
2014-03-28,EDP,EDP,2.0A,false,328566,721248316,2.0,0,1,0.5151576442034064,0.3238506923049183,0.0027312765660547165,2014,1,,,,,,,,26.22592808890263,cost_com,41.32708791676314,,13,,29.133403249555723,55.65612876657045
2014-03-28,EDP,EDP,2.0A,true,206551,350652738,2.0,0,1,0.3238506923049183,0.3238506923049183,0.0027312765660547165,2014,1,,,,,,,,26.22592808890263,cost_reg,44.4527368438098,,13,,26.22592808890263,41.32708791676314
2014-06-28,EDP,EDP,2.0A,false,329550,712126318,2.0,0,1,0.5317192174022479,0.3302564450080835,0.003055913208192558,2014,2,,,,,,,,19.941854379284077,cost_com,51.3346609800098,,14,,26.22592808890263,44.4527368438098
2014-06-28,EDP,EDP,2.0A,true,204687,336442157,2.0,0,1,0.3302564450080835,0.3302564450080835,0.003055913208192558,2014,2,,,,,,,,19.941854379284077,cost_reg,55.552710883034145,,14,,19.941854379284077,51.3346609800098
2014-09-28,EDP,EDP,2.0A,false,330341,700842513,2.0,0,1,0.5174409042422382,0.3162560912763368,0.003151564896078244,2014,3,,,,,,,,19.140629987998793,cost_com,62.559251009538215,,15,,19.941854379284077,55.552710883034145
2014-09-28,EDP,EDP,2.0A,true,201902,323810135,2.0,0,1,0.3162560912763368,0.3162560912763368,0.003151564896078244,2014,3,,,,,,,,19.140629987998793,cost_reg,66.45380406692523,,15,,19.140629987998793,62.559251009538215
2014-12-28,EDP,EDP,2.0A,false,332146,803188467,2.0,0,1,0.5202030405971562,0.31158681457745036,0.0032639355482362376,2014,4,,,,,,,,22.970609375,cost_com,63.01007042678492,,16,,19.140629987998793,66.45380406692523
2014-12-28,EDP,EDP,2.0A,true,198946,315212907,2.0,0,1,0.31158681457745036,0.31158681457745036,0.0032639355482362376,2014,4,,,,,,,,22.970609375,cost_reg,66.50285770827628,,16,,22.970609375,63.01007042678492
